sample_fp	plate	cycle	well	tile	channel
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_24_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	24	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_24_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	24	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_24_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	24	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_24_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	24	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_25_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	25	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_25_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	25	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_25_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	25	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_25_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	25	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_25_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	25	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_26_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	26	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_26_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	26	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_26_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	26	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_26_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	26	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_26_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	26	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_27_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	27	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_27_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	27	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_27_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	27	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_27_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	27	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_27_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	27	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_28_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	28	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_28_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	28	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_28_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	28	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_28_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	28	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_28_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	28	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_29_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	29	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_29_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	29	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_29_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	29	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_29_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	29	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_29_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	29	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_30_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	30	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_30_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	30	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_30_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	30	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_30_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	30	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_30_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	30	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_31_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	31	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_31_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	31	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_31_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	31	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_31_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	31	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_31_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	31	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_32_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	32	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_32_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	32	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_32_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	32	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_32_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	32	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_32_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	32	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_33_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	33	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_33_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	33	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_33_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	33	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_33_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	33	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_33_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	33	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_34_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	34	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_34_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	34	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_34_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	34	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_34_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	34	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_34_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	34	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_35_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	35	405_nm_-_Penta
